Species	Source
Physiculus nematopus	Local_csv
Fistularia corneta	Local_csv
Chanos chanos	Local_csv
Zu cristatus	Local_csv
Antennarius sanguineus	Local_csv
Antennatus strigatus	Local_csv
Lophiodes caulinaris	Local_csv
Lophiodes spilurus	Local_csv
Lophiodon spilurus	Local_csv
Lophiomus setigerus	Local_csv
Ogcocephalus darwini	Local_csv
Antennarius avalonis	Local_csv
Antennarius coccineus	Local_csv
Antennarius commerson	Local_csv
Dibranchus cracens	Local_csv
Dibranchus discors	Local_csv
Dibranchus erinaceus	Local_csv
Dibranchus hystrix	Local_csv
Halieutopsis tumifrons	Local_csv
Agonostomus monticola	Local_csv
Chaenomugil proboscideus	Local_csv
Mugil cephalus	Local_csv
Mugil curema	Local_csv
Mugil rammelsbergi	Local_csv
Xenomugil thoburni	Local_csv
Diogenichthys laternatus	Local_csv
Lampanyctus omostigma	Local_csv
Myctophum aurolaternatum	Local_csv
Myctophum nitidulum	Local_csv
Halosaurus attenuatus	Local_csv
Cataetyx simus	Local_csv
Diplacanthopoma jordani	Local_csv
Grammonus diagrammus	Local_csv
Lucifuga inopinata	Local_csv
Ogilbia deroyi	Local_csv
Ogilbia galapagosensis	Local_csv
Calamopteryx jeb	Local_csv
Pseudonus acutus	Local_csv
Carapus dubius	Local_csv
Echiodon exsilium	Local_csv
Encheliophis vermicularis	Local_csv
Bathyonus caudalis	Local_csv
Brotula ordwayi	Local_csv
Monomitopus malispinosus	Local_csv
Otophidium indefatigabile	Local_csv
Dicrolene nigra	Local_csv
Eretmichthys pinnatus	Local_csv
Petrotyx hopkinsi	Local_csv
Bathytroctes macrolepis	Local_csv
Narcetes erimelas	Local_csv
Argentina aliceae	Local_csv
Acanthurus triostegus	Local_csv
Prionurus laticlavius	Local_csv
Ammodytoides gilli	Local_csv
Apogon atradorsatus	Local_csv
Apogon dovii	Local_csv
Apogon pacificus	Local_csv
Ophioblennius steindachneri	Local_csv
Plagiotremus azaleus	Local_csv
Brama dussumieri	Local_csv
Taractes rubescens	Local_csv
Synchiropus atrilabiatus	Local_csv
Alectis ciliaris	Local_csv
Carangoides orthogrammus	Local_csv
Caranx caballus	Local_csv
Caranx caninus	Local_csv
Caranx ignobilis	Local_csv
Caranx latus	Local_csv
Caranx lugubris	Local_csv
Caranx melampygus	Local_csv
Caranx tille	Local_csv
Decapterus macrosoma	Local_csv
Decapterus muroadsi	Local_csv
Elagatis bipinnulata	Local_csv
Selar crumenophthalmus	Local_csv
Selene peruviana	Local_csv
Seriola lalandi	Local_csv
Seriola rivoliana	Local_csv
Trachinotus paitensis	Local_csv
Trachinotus rhodopus	Local_csv
Trachinotus stilbe	Local_csv
Seriolella violacea	Local_csv
Centropomus viridis	Local_csv
Chaetodon humeralis	Local_csv
Oreochromis niloticus	Local_csv
Cirrhitichthys oxycephalus	Local_csv
Cirrhitus rivulatus	Local_csv
Oxycirrhites typus	Local_csv
Coryphaena equiselis	Local_csv
Coryphaena hippurus	Local_csv
Dactyloscopus lacteus	Local_csv
Gillellus semicinctus	Local_csv
