"ASV_id","Sample_name","BestTaxon","Class","nReads","name_match_type","domain","phylum","class","order","family","genus","species","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","regatta_match_rank","after_scientific_name"
"row_460","RL2501_F018_1_MV1","Symbolophorus californiensis","Actinopteri",5616,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Symbolophorus","Symbolophorus","Symbolophorus californiensis","Symbolophorus californiensis","species","Symbolophorus californiensis"
"row_461","RL2501_F018_1_MV1",NA,NA,3710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"row_462","RL2501_F018_2_MV1","Astropecten verrilli","Asteroidea",3,"scientific name","Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli","Eukaryota","Eukaryota","Echinodermata",NA,"Asteroidea",NA,"Paxillosida",NA,"Astropectinidae",NA,"Astropecten",NA,"Astropecten verrilli",NA,"domain","Eukaryota"
"row_463","RL2501_F018_2_MV1","Bathycoccus prasinos","Mamiellophyceae",9,"scientific name","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos","Eukaryota","Eukaryota","Chlorophyta",NA,"Mamiellophyceae",NA,"Mamiellales",NA,"Bathycoccaceae",NA,"Bathycoccus",NA,"Bathycoccus prasinos",NA,"domain","Eukaryota"
"row_464","RL2501_F018_2_MV1","Ceratoscopelus","Actinopteri",6169,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Ceratoscopelus","Ceratoscopelus",NA,NA,"genus","Ceratoscopelus"
"row_465","RL2501_F018_2_MV1","Cyclothone signata","Actinopteri",2533,"scientific name","Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Stomiiformes","Stomiiformes","Gonostomatidae","Gonostomatidae","Cyclothone","Cyclothone","Cyclothone signata","Cyclothone signata","species","Cyclothone signata"
"row_466","RL2501_F018_2_MV1","Delphinidae","Mammalia",110,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA,"Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Artiodactyla","Artiodactyla","Delphinidae","Delphinidae",NA,NA,NA,NA,"family","Delphinidae"
"row_467","RL2501_F018_2_MV1","Engraulis mordax","Actinopteri",277,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Clupeiformes","Clupeiformes","Engraulidae","Engraulidae","Engraulis","Engraulis","Engraulis mordax","Engraulis mordax","species","Engraulis mordax"
"row_468","RL2501_F018_2_MV1","Gigantactis vanhoeffeni","Actinopteri",175,"scientific name","Eukaryota","Chordata","Actinopteri","Lophiiformes","Gigantactinidae","Gigantactis","Gigantactis vanhoeffeni","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lophiiformes","Lophiiformes","Gigantactinidae","Gigantactinidae","Gigantactis","Gigantactis","Gigantactis vanhoeffeni","Gigantactis vanhoeffeni","species","Gigantactis vanhoeffeni"
"row_469","RL2501_F018_2_MV1","Lampanyctus reinhardti","Actinopteri",323,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus reinhardti","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Lampanyctus","Lampanyctus","Lampanyctus reinhardti","Lampanyctus reinhardti","species","Lampanyctus reinhardti"
