"Species","Source"
"Augaptilus longicaudatus","OBIS"
"Euaugaptilus hecticus","OBIS"
"Haloptilus spiniceps","OBIS"
"Calanus helgolandicus","OBIS"
"Centropages violaceus","OBIS"
"Clausocalanus mastigophorus","OBIS"
"Pseudocalanus elongatus","OBIS"
"Subeucalanus mucronatus","OBIS"
"Euchaeta acuta","OBIS"
"Pleuromamma xiphias","OBIS"
"Acrocalanus longicornis","OBIS"
"Lophothrix frontalis","OBIS"
"Scolecithricella abyssalis","OBIS"
"Oithona similis","OBIS"
"Oncaea curta","OBIS"
"Triconia conifera","OBIS"
"Copilia quadrata","OBIS"
"Eucalanus elongatus","OBIS"
"Calocalanus plumulosus","OBIS"
"Centropages elongatus","OBIS"
"Euchirella venusta","OBIS"
"Andromastax muricatus","OBIS"
"Caligus omissus","OBIS"
"Pontellina sobrina","OBIS"
"Ridgewayia delfine","OBIS"
"Ridgewayia tunela","OBIS"
"Corycaeus (Monocorycaeus) robustus","OBIS"
"Bestiolina brasiliensis","OBIS"
"Aetideus giesbrechti","OBIS"
"Gaetanus latifrons","OBIS"
"Arietellus giesbrechti","OBIS"
"Arietellus setosus","OBIS"
"Euaugaptilus laticeps","OBIS"
"Calanus finmarchicus","OBIS"
"Euchaeta spinosa","OBIS"
"Lucicutia lucida","OBIS"
"Pleuromamma borealis","OBIS"
"Acrocalanus andersoni","OBIS"
"Calanopia americana","OBIS"
"Calanopia elliptica","OBIS"
"Labidocera aestiva","OBIS"
"Labidocera kroyeri","OBIS"
"Pontella spinipes","OBIS"
"Scottocalanus securifrons","OBIS"
"Spinocalanus horridus","OBIS"
"Temora turbinata","OBIS"
"Oithona atlantica","OBIS"
"Oithona decipiens","OBIS"
"Oithona fallax","OBIS"
"Oithona hamata","OBIS"
"Oithona longispina","OBIS"
"Oithona robusta","OBIS"
"Urocorycaeus lautus","OBIS"
"Lubbockia aculeata","OBIS"
"Oncaea mediterranea","OBIS"
"Oncaea scottodicarloi","OBIS"
"Pachos punctatum","OBIS"
"Lepeophtheirus dissimulatus","OBIS"
"Pandarus cranchii","OBIS"
"Pontoeciella abyssicola","OBIS"
"Euchirella galeata","OBIS"
"Pandarus smithii","OBIS"
