"Species","Source"
"Triakis maculata","GBIF"
"Raja equatorialis","GBIF"
"Squatina armata","GBIF"
"Entosphenus tridentatus","GBIF"
"Potamotrygon magdalenae","GBIF"
"Rhizoprionodon lalandii","GBIF"
"Mobula tarapacana","GBIF"
"Gurgesiella furvescens","GBIF"
"Harriotta raleighana","GBIF"
"Apristurus nasutus","GBIF"
"Apristurus stenseni","GBIF"
"Nebrius ferrugineus","GBIF"
"Etmopterus baxteri","GBIF"
"Pseudobatos percellens","GBIF"
"Isistius brasiliensis","GBIF"
"Squalus blainville","GBIF"
"Amblyraja hyperborea","GBIF"
"Etmopterus granulosus","GBIF"
"Urobatis concentricus","GBIF"
"Sympterygia brevicaudata","GBIF"
"Echinorhinus cookei","GBIF"
"Chiloscyllium plagiosum","GBIF"
"Mobula thurstoni","GBIF"
"Carcharhinus melanopterus","GBIF"
"Tetronarce californica","GBIF"
"Nasolamia velox","GBIF"
"Pristis microdon","GBIF"
"Pteroplatytrygon violacea","GBIF"
"Lamna ditropis","GBIF"
"Carcharhinus leucas","GBIF"
"Eptatretus wisneri","GBIF"
"Pristis perotteti","GBIF"
"Aetomylaeus asperrimus","GBIF"
"Amblyraja badia","GBIF"
"Myxine phantasma","GBIF"
"Eptatretus goslinei","GBIF"
"Carcharhinus brachyurus","GBIF"
"Entosphenus tridentatus","GBIF"
"Bythaelurus giddingsi","GBIF"
"Myxine martinii","GBIF"
"Eptatretus deani","GBIF"
"Squalus acanthias","GBIF"
"Squalus cubensis","GBIF"
"Mustelus albipinnis","GBIF"
"Cetorhinus maximus","GBIF"
"Myxine greggi","GBIF"
"Urolophus halleri","GBIF"
"Pseudobatos prahli","GBIF"
"Tetrapleurodon spadiceus","GBIF"
"Negaprion acutidens","GBIF"
"Hypanus guttatus","GBIF"
"Chimaera orientalis","GBIF"
"Rhinochimaera africana","GBIF"
"Tetronarce tremens","GBIF"
"Pseudobatos glaucostigmus","GBIF"
"Rhizoprionodon longurio","GBIF"
"Isurus oxyrinchus","GBIF"
"Urotrygon rogersi","GBIF"
"Rhinoptera jayakari","GBIF"
"Cephalurus cephalus","GBIF"
"Diplobatis ommata","GBIF"
"Urolophus halleri","GBIF"
"Pristis microdon","GBIF"
"Urotrygon munda","GBIF"
"Bathyraja spinosissima","GBIF"
"Carcharhinus limbatus","GBIF"
"Galeorhinus","GBIF"
"Urotrygon rogersi","GBIF"
"Galeocerdo","GBIF"
"Hypanus longus","GBIF"
"Sphyrna lewini","GBIF"
"Apristurus brunneus","GBIF"
"Dasyatis brevis","GBIF"
"Urotrygon munda","GBIF"
"Sphyrna zygaena","GBIF"
"Bathyraja peruana","GBIF"
"Carcharias taurus","GBIF"
