"Species","Source"
"Laticorophium baconi","GBIF"
"Macroacaena schencki","GBIF"
"Jassa slatteryi","GBIF"
"Harpacticus uniremis","GBIF"
"Epimeria cora","GBIF"
"Calliopius laeviusculus","GBIF"
"Iliacantha subglobosa","GBIF"
"Ramellogammarus littoralis","GBIF"
"Spirontocaris dalli","GBIF"
"Mandibulophoxus alaskensis","GBIF"
"Monocorophium californianum","GBIF"
"Proneomysis wailesi","GBIF"
"Pagurus mertensii","GBIF"
"Carinonajna bicarinata","GBIF"
"Dulichiella appendiculata","GBIF"
"Hemilamprops gracilis","GBIF"
"Stygobromus lanensis","GBIF"
"Podoceropsis chionoecetophila","GBIF"
"Caprella ungulina","GBIF"
"Hippomedon columbianus","GBIF"
"Quadrimaera vigota","GBIF"
"Haploops tubicola","GBIF"
"Dynamenella perforata","GBIF"
"Kamptopleustes coquillus","GBIF"
"Lamprops fuscatus","GBIF"
"Cryptodius unguidactylus","GBIF"
"Lebbeus polaris","GBIF"
"Faxonius sanbornii","GBIF"
"Sclerocrangon boreas","GBIF"
"Holopleustes aequipes","GBIF"
"Eucopia grimaldii","GBIF"
"Holmesimysis sculptoides","GBIF"
"Ericthonius difformis","GBIF"
"Mandibulophoxus gilesi","GBIF"
"Gaetanus brevispinus","GBIF"
"Paraeuchaeta californica","GBIF"
"Maera bousfieldi","GBIF"
"Acanthochondria vancouverensis","GBIF"
"Thorlaksonius carinatus","GBIF"
"Megamoera borealis","GBIF"
"Ptilohyale plumulosus","GBIF"
"Neocrangon resima","GBIF"
"Ampelisca cristoides","GBIF"
"Aristias curtipes","GBIF"
"Dynamene benedicti","GBIF"
"Cercops compactus","GBIF"
"Eusirella multicalceola","GBIF"
"Clavella perfida","GBIF"
"Paraeuchaeta elongata","GBIF"
"Phyllolithodes papillosus","GBIF"
"Panulirus interruptus","GBIF"
"Lopholithodes mandtii","GBIF"
"Leptostylis villosa","GBIF"
"Sunamphitoe lindbergi","GBIF"
"Caprella mendax","GBIF"
"Scyllarella manleyi","GBIF"
"Exosphaeroma amplicauda","GBIF"
"Lophopanopeus bellus","GBIF"
"Deutella californica","GBIF"
"Mursia marcusana","GBIF"
"Ptilohyale plumulosus","GBIF"
"Grimothea quadrispina","GBIF"
"Thysanoessa spinifera","GBIF"
"Protohyale jarrettae","GBIF"
"Heptacarpus tridens","GBIF"
"Parallorchestes cowani","GBIF"
"Ampelisca hancocki","GBIF"
"Protohyale frequens","GBIF"
"Microjassa barnardi","GBIF"
"Pagurus spina","GBIF"
"Chionoecetes bairdi","GBIF"
"Lepeophtheirus parvicruris","GBIF"
"Rathbunixa occidentalis","GBIF"
"Branchiolambrus altus","GBIF"
"Cyphocaris challengeri","GBIF"
"Heptacarpus kincaidi","GBIF"
"Pandalus danae","GBIF"
"Hemiarthrus abdominalis","GBIF"
"Paguristes turgidus","GBIF"
"Paracalliopiella pratti","GBIF"
"Rocinela tridens","GBIF"
"Megalorchestia californiana","GBIF"
"Lophopanopeus diegensis","GBIF"
"Raninoides dickersoni","GBIF"
"Synapseudes intumescens","GBIF"
"Pinnixa rathbuni","GBIF"
"Amphiascopsis cinctus","GBIF"
"Carinonajna barnardi","GBIF"
"Ampithoe lacertosa","GBIF"
"Apohyale pugettensis","GBIF"
"Eualus subtilis","GBIF"
"Ampithoe simulans","GBIF"
"Pontogeneia rostrata","GBIF"
"Callianassa knapptonensis","GBIF"
"Pakynus barnardi","GBIF"
"Heptacarpus stylus","GBIF"
"Pacifastacus leniusculus","GBIF"
"Crangon handi","GBIF"
"Pentidotea montereyensis","GBIF"
"Ligidium gracile","GBIF"
"Faxonius neglectus","GBIF"
"Canuella canadensis","GBIF"
"Heptacarpus kincaidi","GBIF"
"Lebbeus mundus","GBIF"
"Eohaustorius sawyeri","GBIF"
"Boreomysis inermis","GBIF"
"Spirontocaris truncata","GBIF"
"Argis crassa","GBIF"
"Haplostomella dubia","GBIF"
"Heptacarpus carinatus","GBIF"
"Calanus helgolandicus","GBIF"
"Primno abyssalis","GBIF"
"Faxonius transfuga","GBIF"
"Haplostoma ambiguum","GBIF"
"Pagurus hartae","GBIF"
"Acanthamunnopsis milleri","GBIF"
"Dactylerythrops latisquamosa","GBIF"
"Chondrochelia dubia","GBIF"
"Gammarus lacustris","GBIF"
"Photis macinerneyi","GBIF"
"Fabia concharum","GBIF"
"Munidopsis latirostris","GBIF"
"Eualus avinus","GBIF"
"Neotrypaea californiensis","GBIF"
"Clavella uncinata","GBIF"
"Acanthochondria epachthes","GBIF"
"Neotrypaea gigas","GBIF"
"Pacifastacus leniusculus","GBIF"
"Hippolyte californiensis","GBIF"
"Longusorbis cuniculosus","GBIF"
"Scaphocalanus brevicornis","GBIF"
"Undeuchaeta intermedia","GBIF"
"Heptacarpus moseri","GBIF"
"Clytemnestra scutellata","GBIF"
"Oncaea media","GBIF"
"Ctenocalanus vanus","GBIF"
"Hansarsia difficilis","GBIF"
"Paracalanus indicus","GBIF"
"Undeuchaeta plumosa","GBIF"
"Halicoides lolo","GBIF"
"Hippomedon denticulatus","GBIF"
"Pontogeneia inermis","GBIF"
"Eohaustorius washingtonianus","GBIF"
"Euchirella rostrata","GBIF"
"Tryphana malmii","GBIF"
"Hartmanodes hartmanae","GBIF"
"Munidopsis pallida","GBIF"
"Upogebia barti","GBIF"
"Americorophium brevis","GBIF"
"Bentheogennema borealis","GBIF"
"Cyamus boopis","GBIF"
"Porcellio laevis","GBIF"
"Crangon nigromaculata","GBIF"
"Hesperodiaptomus shoshone","GBIF"
"Apohyale pugettensis","GBIF"
"Foxiphalus cognatus","GBIF"
"Wecomedon wecomus","GBIF"
"Monothula subtilis","GBIF"
"Pseudoamallothrix ovata","GBIF"
"Diastylis umatillensis","GBIF"
"Coeloma martinezensis","GBIF"
"Gilvossius candidus","GBIF"
"Callianopsis clallamensis","GBIF"
"Macrocheira columbiaensis","GBIF"
"Callianassa umpquaensis","GBIF"
"Megokkos feldmanni","GBIF"
"Cancer coosensis","GBIF"
"Anonyx lilljeborgi","GBIF"
"Shinkaia katapsyxis","GBIF"
"Pseudotanais californiensis","GBIF"
"Herbstia parvifrons","GBIF"
"Cystisoma fabricii","GBIF"
"Americorophium spinicorne","GBIF"
"Pagurus brandti","GBIF"
"Lophaxius investigatoris","GBIF"
"Oediceroides abyssorum","GBIF"
"Eriocheir japonica","GBIF"
"Stygobromus wahkeenensis","GBIF"
"Synidotea cornuta","GBIF"
"Cyamus mesorubraedon","GBIF"
"Caprella rudiuscula","GBIF"
"Microjassa boreopacifica","GBIF"
"Romaleon gibbosulum","GBIF"
"Parapleustes americanus","GBIF"
"Pinnotheres pisum","GBIF"
"Thorlaksonius truncatus","GBIF"
"Eudorella tridentata","GBIF"
"Eyakia robusta","GBIF"
"Acanthochondria dojirii","GBIF"
"Parametaphoxus quaylei","GBIF"
"Alamprops quadriplicatus","GBIF"
"Hansarsia difficilis","GBIF"
"Boreomysis californica","GBIF"
"Zeuxo normani","GBIF"
"Mesopleustes abyssorum","GBIF"
"Bemlos concavus","GBIF"
"Lophothrix frontalis","GBIF"
"Ramellogammarus columbianus","GBIF"
"Lucicutia bicornuta","GBIF"
"Dynamene glabra","GBIF"
"Pandalus montagui","GBIF"
"Stygobromus saltuaris","GBIF"
"Quadrimaera reishi","GBIF"
"Pagurus townsendi","GBIF"
"Eogammarus confervicolus","GBIF"
"Munidopsis aries","GBIF"
"Pontogeneia ivanovi","GBIF"
"Photis pachydactyla","GBIF"
"Cheirimedeia macrocarpa","GBIF"
"Thermosphaeroma dugesi","GBIF"
"Parallorchestes leblondi","GBIF"
"Herrmannella saxidomi","GBIF"
"Doridicola sunnivae","GBIF"
"Euchirella formosa","GBIF"
"Desdimelita desdichada","GBIF"
"Pylopagurus holmesi","GBIF"
"Enteropsis roscoffensis","GBIF"
"Incisocalliope derzhavini","GBIF"
"Heterophoxus oculatus","GBIF"
"Polycheria carinata","GBIF"
"Rocinela belliceps","GBIF"
"Chevalia aviculae","GBIF"
"Centropages abdominalis","GBIF"
"Ampithoe rubricata","GBIF"
"Paraphronima crassipes","GBIF"
"Archaeomysis grebnitzkii","GBIF"
"Monoculodes brevirostris","GBIF"
"Heptacarpus palpator","GBIF"
"Eualus macrophthalmus","GBIF"
"Lebbeus grandimanus","GBIF"
"Chondracanthus pinguis","GBIF"
"Aoroides intermedius","GBIF"
"Metacrangon munita","GBIF"
"Heptacarpus tenuissimus","GBIF"
"Gnorimosphaeroma insulare","GBIF"
"Rocinela americana","GBIF"
"Palaemon macrodactylus","GBIF"
"Eualus macrophthalmus","GBIF"
"Pachygrapsus crassipes","GBIF"
"Alienacanthomysis macropsis","GBIF"
"Acartia tonsa","GBIF"
"Spirontocaris holmesi","GBIF"
"Hourstonius vilordes","GBIF"
"Neotrypaea californiensis","GBIF"
"Rhachotropis inflata","GBIF"
"Acantholochus venustus","GBIF"
"Argeia pugettensis","GBIF"
"Jassa falcata","GBIF"
"Petalophthalmus armiger","GBIF"
"Hesperodiaptomus franciscanus","GBIF"
"Uromunna ubiquita","GBIF"
"Paraeuchaeta elongata","GBIF"
"Chromopleustes lineatus","GBIF"
"Excirolana chiltoni","GBIF"
"Caprella irregularis","GBIF"
"Meterythrops robusta","GBIF"
"Aoroides spinosus","GBIF"
"Acartia hudsonica","GBIF"
"Spirontocaris lamellicornis","GBIF"
"Pentidotea recta","GBIF"
"Chondracanthus pusillus","GBIF"
"Labidochirus splendescens","GBIF"
"Heptacarpus flexus","GBIF"
"Caprella verrucosa","GBIF"
"Atylus levidensus","GBIF"
"Maera danae","GBIF"
"Paramoera bucki","GBIF"
"Carinonajna longimana","GBIF"
"Pagurus samuelis","GBIF"
"Bathycopea daltonae","GBIF"
"Rathbunixa occidentalis","GBIF"
"Heptacarpus sitchensis","GBIF"
"Paraphoxus similis","GBIF"
"Rhinolithodes wosnessenskii","GBIF"
"Carinonajna lessoniophila","GBIF"
"Ampithoe kussakini","GBIF"
"Maera loveni","GBIF"
"Pinnotheres taylori","GBIF"
"Ampelisca unsocalae","GBIF"
"Pentidotea resecata","GBIF"
"Majoxiphalus maximus","GBIF"
"Parapasiphae sulcatifrons","GBIF"
"Gammaropsis ellisi","GBIF"
"Cystisoma latipes","GBIF"
"Pagurus kennerlyi","GBIF"
"Dynamenella sheareri","GBIF"
"Argis lar","GBIF"
"Hippolyte clarki","GBIF"
"Hesperodiaptomus kenai","GBIF"
"Neognathophausia gigas","GBIF"
"Metacaprella kennerlyi","GBIF"
"Pseudione galacanthae","GBIF"
"Jassa marmorata","GBIF"
"Gnathopleustes serratus","GBIF"
"Eusergestes similis","GBIF"
"Crangon allmanni","GBIF"
"Cancer productus","GBIF"
"Photis parvidons","GBIF"
"Onchocalanus magnus","GBIF"
"Glebocarcinus oregonensis","GBIF"
"Caprella mutica","GBIF"
"Pachycheles rudis","GBIF"
"Metaphoxus frequens","GBIF"
"Megalorchestia pugettensis","GBIF"
"Cylisticus convexus","GBIF"
"Haplostoma minutum","GBIF"
"Bulychevia georgiana","GBIF"
"Calliopius carinatus","GBIF"
"Pasiphaea magna","GBIF"
"Oncaea glabra","GBIF"
"Mimonectes loveni","GBIF"
"Panopeus baldwini","GBIF"
"Anonyx comecrudus","GBIF"
"Bathyceradocus wuzzae","GBIF"
"Boreomysis pearcyi","GBIF"
"Spinocalanus brevicaudatus","GBIF"
"Pseudodiaptomus forbesi","GBIF"
"Herrmannella columbiae","GBIF"
"Microcalanus pygmaeus","GBIF"
"Lycaea osbornae","GBIF"
"Acartia danae","GBIF"
"Araphura breviaria","GBIF"
"Eudorellopsis longirostris","GBIF"
"Palaemon modestus","GBIF"
"Dactylopusia vulgaris","GBIF"
"Orchomene pacifica","GBIF"
"Podocerus spongicolus","GBIF"
"Processa peruviana","GBIF"
"Gibbamblyops longisquamosa","GBIF"
"Campylaspis biplicata","GBIF"
"Pacifoculodes spinipes","GBIF"
"Paraphoxus epistomus","GBIF"
"Salmincola californiensis","GBIF"
"Liljeborgia cota","GBIF"
"Eualus avinus","GBIF"
"Romaleon jordani","GBIF"
"Sarsamphiascus undosus","GBIF"
"Haplostoma elegans","GBIF"
"Janiralata occidentalis","GBIF"
"Minuca pugnax","GBIF"
"Limnoria algarum","GBIF"
"Kamptopleustes coquillus","GBIF"
"Rhynohalicella halona","GBIF"
"Eriocheir sinensis","GBIF"
"Hymenodora acanthitelsonis","GBIF"
"Themisto japonica","GBIF"
"Lophomastix kellyi","GBIF"
"Rhepoxynius tridentatus","GBIF"
"Raninoides vaderensis","GBIF"
"Macroacaena alseana","GBIF"
"Ischyrocerus pelagops","GBIF"
"Munidopsis antonii","GBIF"
"Iais californica","GBIF"
"Gennadas kempi","GBIF"
"Photis reinhardi","GBIF"
"Ramellogammarus ramellus","GBIF"
"Clausocalanus arcuicornis","GBIF"
"Microsetella norvegica","GBIF"
"Munidopsis bairdii","GBIF"
"Oradarea longimana","GBIF"
"Trichopeltarion granulosa","GBIF"
"Ptilohyale littoralis","GBIF"
"Munna halei","GBIF"
"Leimia vaga","GBIF"
"Bruzelia tuberculata","GBIF"
"Munidopsis tiburon","GBIF"
"Heptacarpus herdmani","GBIF"
"Discerceis granulosa","GBIF"
"Lissocrangon stylirostris","GBIF"
"Petrolisthes eriomerus","GBIF"
"Oregonia gracilis","GBIF"
"Pentidotea wosnesenskii","GBIF"
"Philoscia muscorum","GBIF"
"Scleroplax littoralis","GBIF"
"Ligia pallasii","GBIF"
"Eucalanus bungii","GBIF"
"Neocrangon communis","GBIF"
"Parapagurus benedicti","GBIF"
"Pandalus eous","GBIF"
"Holmesiella anomala","GBIF"
"Heterostylites longicornis","GBIF"
"Microcalanus pusillus","GBIF"
"Byblis bathyalis","GBIF"
"Clausocalanus parapergens","GBIF"
"Bradyidius saanichi","GBIF"
"Triconia borealis","GBIF"
"Pleuromamma xiphias","GBIF"
"Pleuromamma scutullata","GBIF"
"Paraeuchaeta elongata","GBIF"
"Xenacanthomysis pseudomacropsis","GBIF"
"Eurytemora pacifica","GBIF"
"Gaetanus tenuispinus","GBIF"
"Racovitzanus antarcticus","GBIF"
"Chionoecetes tanneri","GBIF"
"Gaetanus pungens","GBIF"
"Heterorhabdus tanneri","GBIF"
"Candacia columbiae","GBIF"
"Euchirella pseudopulchra","GBIF"
"Rhynocrangon alata","GBIF"
"Pandalus borealis","GBIF"
"Neocrangon abyssorum","GBIF"
"Romaleon antennarium","GBIF"
"Glebocarcinus oregonensis","GBIF"
"Pagurus caurinus","GBIF"
"Pentidotea schmitti","GBIF"
"Jassa morinoi","GBIF"
"Gnathopleustes pachychaetus","GBIF"
"Clavella adunca","GBIF"
"Trichoniscus pygmaeus","GBIF"
"Baeonectes improvisus","GBIF"
"Eogammarus oclairi","GBIF"
"Wecomedon wecomus","GBIF"
"Rhithropanopeus harrisii","GBIF"
"Scleroplax schmitti","GBIF"
"Scleroplax faba","GBIF"
"Ptilosarcoma athyrmata","GBIF"
"Crangon dalli","GBIF"
"Tortanus discaudatus","GBIF"
"Mesocrangon munitella","GBIF"
"Palaemon modestus","GBIF"
"Crangonyx richmondensis","GBIF"
"Elthusa californica","GBIF"
"Megokkos alaskensis","GBIF"
"Syrrhoites columbiae","GBIF"
"Alcespina americana","GBIF"
"Elassochirus tenuimanus","GBIF"
"Branchioplax washingtoniana","GBIF"
"Herrmannella columbiae","GBIF"
"Metacrangon munita","GBIF"
"Diastylis quadriplicata","GBIF"
"Crangon nigricauda","GBIF"
"Ampelisca careyi","GBIF"
"Nebalia pugettensis","GBIF"
"Ericthonius rubricornis","GBIF"
"Polycheria osborni","GBIF"
"Megamoera subtener","GBIF"
"Dulichiella appendiculata","GBIF"
"Eohaustorius estuarius","GBIF"
"Pagurus tanneri","GBIF"
"Caprella penantis","GBIF"
"Tiron biocellatus","GBIF"
"Maera similis","GBIF"
"Trachypleustes trevori","GBIF"
"Betaeus harrimani","GBIF"
"Benthoxynus spiculifer","GBIF"
"Elassochirus gilli","GBIF"
"Heptacarpus paludicola","GBIF"
"Armadillidium nasatum","GBIF"
"Planes minutus","GBIF"
"Attheyella idahoensis","GBIF"
"Cyamus scammoni","GBIF"
"Pulalius vulgaris","GBIF"
"Pentidotea wosnesenskii","GBIF"
"Cheirimedeia macrodactyla","GBIF"
"Scolecodes huntsmani","GBIF"
"Themisto compressa","GBIF"
"Sunamphitoe humeralis","GBIF"
"Rocinela laticauda","GBIF"
"Eualus townsendi","GBIF"
"Pagurus ochotensis","GBIF"
"Scleroplax tubicola","GBIF"
"Calocalanus styliremis","GBIF"
"Lucicutia flavicornis","GBIF"
"Stellicola oreastriphilus","GBIF"
"Caprella ferrea","GBIF"
"Dulichia rhabdoplastis","GBIF"
"Macroregonia macrochira","GBIF"
"Cenomanocarcinus beardi","GBIF"
"Hoploparia riddlensis","GBIF"
"Herpyllobius haddoni","GBIF"
"Monothula subtilis","GBIF"
"Discorsopagurus schmitti","GBIF"
"Porcellio dilatatus","GBIF"
"Harpiniopsis triplex","GBIF"
"Megamoera dentata","GBIF"
"Synidotea consolidata","GBIF"
"Exacanthomysis davisi","GBIF"
"Gnorimosphaeroma oregonense","GBIF"
"Eryma dawsoni","GBIF"
"Eualus townsendi","GBIF"
"Triconia canadensis","GBIF"
"Spirontocaris ochotensis","GBIF"
"Leonardsaxius spinulicauda","GBIF"
"Munidopsis cascadia","GBIF"
"Rhepoxynius heterocuspidatus","GBIF"
"Chondracanthus gracilis","GBIF"
"Eohaustorius brevicuspis","GBIF"
"Crangon septemspinosa","GBIF"
"Diastylis pellucida","GBIF"
"Orchomenella pinguis","GBIF"
"Pleurogonium rubicundum","GBIF"
"Betaeus longidactylus","GBIF"
"Gammaropsis thompsoni","GBIF"
"Pseudanthessius latus","GBIF"
"Munidion parvum","GBIF"
"Leucon fulvus","GBIF"
"Portunites insculpta","GBIF"
"Raninoides vaderensis","GBIF"
"Raninoides vaderensis","GBIF"
"Asthenognathus cornishorum","GBIF"
"Branchioplax washingtoniana","GBIF"
"Gammarus setosus","GBIF"
"Americhelidium variabilum","GBIF"
"Diastylis sentosa","GBIF"
"Neocallichirus porterensis","GBIF"
"Desdimelita californica","GBIF"
"Allorchestes bellabella","GBIF"
"Atylus tridens","GBIF"
"Paguristes bakeri","GBIF"
"Temora longicornis","GBIF"
"Eobrolgus spinosus","GBIF"
"Heptacarpus moseri","GBIF"
"Neopleustes columbianus","GBIF"
"Asellus tamaensis","GBIF"
"Sinelobus stanfordi","GBIF"
"Linuparus vancouverensis","GBIF"
"Austruca perplexa","GBIF"
"Labidochirus splendescens","GBIF"
"Bathycalliax geomar","GBIF"
"Ericthonius punctatus","GBIF"
"Protohyale oclairi","GBIF"
"Cyamus orubraedon","GBIF"
"Cyamus catodontis","GBIF"
"Columbiaemysis ignota","GBIF"
"Incisocalliope derzhavini","GBIF"
"Munidopsis verrilli","GBIF"
"Cyamus monodontis","GBIF"
"Romaleon branneri","GBIF"
"Planes minutus","GBIF"
"Alamprops serratus","GBIF"
"Grandifoxus grandis","GBIF"
"Tecticeps pugettensis","GBIF"
"Rhachotropis gubilata","GBIF"
"Eusirus columbianus","GBIF"
"Ampithoe sectimana","GBIF"
"Monoculodes latissimanus","GBIF"
"Pontogeneia intermedia","GBIF"
"Atylus collingi","GBIF"
"Neocyamus physeteris","GBIF"
"Oregonia bifurca","GBIF"
"Paciforchestia klawei","GBIF"
"Aristias falcatus","GBIF"
"Foxiphalus fucaximeus","GBIF"
"Protohyale seticornis","GBIF"
"Pontogeneia kondakovi","GBIF"
"Cancer borealis","GBIF"
"Pagurus redondoensis","GBIF"
"Opisa eschrichtii","GBIF"
"Excirolana chiltoni","GBIF"
"Pardalisca cuspidata","GBIF"
"Onychocorycaeus catus","GBIF"
"Monocorophium uenoi","GBIF"
"Paguristes sayi","GBIF"
"Eudorella emarginata","GBIF"
"Protomedeia grandimana","GBIF"
"Pinnixa scamit","GBIF"
"Planes marinus","GBIF"
"Mesocrangon intermedia","GBIF"
"Disseta scopularis","GBIF"
"Metopa palmata","GBIF"
"Americhelidium rectipalmum","GBIF"
"Diacyclops nanus","GBIF"
"Hansarsia lobata","GBIF"
"Eualus suckleyi","GBIF"
"Monocorophium insidiosum","GBIF"
"Acartia longiremis","GBIF"
"Argis alaskensis","GBIF"
"Spirontocaris prionota","GBIF"
"Pentidotea aculeata","GBIF"
"Neocalanus cristatus","GBIF"
"Cheirimedeia zotea","GBIF"
"Hyas lyratus","GBIF"
"Orthione griffenis","GBIF"
"Pandalus goniurus","GBIF"
"Paracrangon echinata","GBIF"
"Scleroplax schmitti","GBIF"
"Haliophasma geminatum","GBIF"
"Pandalus dispar","GBIF"
"Themisto pacifica","GBIF"
"Eualus barbatus","GBIF"
"Acartia clausi","GBIF"
"Aoroides columbiae","GBIF"
"Cumella vulgaris","GBIF"
"Eogammarus confervicolus","GBIF"
"Ditrichocorycaeus anglicus","GBIF"
"Idotea fewkesi","GBIF"
"Pagurus hemphilli","GBIF"
"Idotea urotoma","GBIF"
"Betaeus setosus","GBIF"
"Romaleon antennarium","GBIF"
"Oniscus asellus","GBIF"
"Procambarus clarkii","GBIF"
"Porcellio scaber","GBIF"
"Pagurus quaylei","GBIF"
"Stygobromus quatsinensis","GBIF"
"Heptacarpus tridens","GBIF"
"Plagiolophus vancouverensis","GBIF"
"Rocinela angustata","GBIF"
"Metridia brevicauda","GBIF"
"Paramoera suchaneki","GBIF"
