"Species","Source"
"Scorpaena guttata","OBIS"
"Anoplarchus purpurescens","OBIS"
"Brosmophycis marginata","OBIS"
"Oncorhynchus mykiss","OBIS"
"Syngnathus californiensis","OBIS"
"Gibbonsia montereyensis","OBIS"
"Pleuronichthys decurrens","OBIS"
"Ichthyococcus irregularis","OBIS"
"Argyropelecus lychnus","OBIS"
"Antimora microlepis","OBIS"
"Oligocottus maculosus","OBIS"
"Odontopyxis trispinosa","OBIS"
"Zaniolepis latipinnis","OBIS"
"Vinciguerria poweriae","OBIS"
"Electrona risso","OBIS"
"Chitonotus pugetensis","OBIS"
"Morone saxatilis","OBIS"
"Hexagrammos lagocephalus","OBIS"
"Nansenia crassa","OBIS"
"Lycodes cortezianus","OBIS"
"Clinocottus globiceps","OBIS"
"Xiphister mucosus","OBIS"
"Sebastes rufus","OBIS"
"Gobiesox maeandricus","OBIS"
"Melanostigma pammelas","OBIS"
"Clevelandia ios","OBIS"
"Gonichthys tenuiculus","OBIS"
"Clinocottus recalvus","OBIS"
"Hygophum atratum","OBIS"
"Sebastes rosaceus","OBIS"
"Apodichthys flavidus","OBIS"
"Lycodes diapterus","OBIS"
"Zalembius rosaceus","OBIS"
"Microgadus proximus","OBIS"
"Tetronarce californica","OBIS"
"Hyperprosopon argenteum","OBIS"
"Leuresthes tenuis","OBIS"
"Ruscarius creaseri","OBIS"
"Sebastes chlorostictus","OBIS"
"Beringraja rhina","OBIS"
"Bathophilus flemingi","OBIS"
"Coryphaenoides acrolepis","OBIS"
"Sebastes serranoides","OBIS"
"Scopelarchus analis","OBIS"
"Ziphius cavirostris","OBIS"
"Xeneretmus latifrons","OBIS"
"Typhlogobius californiensis","OBIS"
"Lycodapus mandibularis","OBIS"
"Stenella coeruleoalba","OBIS"
"Lampanyctus regalis","OBIS"
"Oligocottus rubellio","OBIS"
"Globicephala melas","OBIS"
"Hydrolagus colliei","OBIS"
"Liparis mucosus","OBIS"
"Sebastes macdonaldi","OBIS"
"Sebastes crameri","OBIS"
"Sagamichthys abei","OBIS"
"Xystreurys liolepis","OBIS"
"Pleuronichthys ritteri","OBIS"
"Cyclothone pseudopallida","OBIS"
"Neoclinus blanchardi","OBIS"
"Pleuronichthys guttulatus","OBIS"
"Seriola lalandi","OBIS"
"Lythrypnus zebra","OBIS"
"Clupea pallasii","OBIS"
"Sebastes zacentrus","OBIS"
"Anarrhichthys ocellatus","OBIS"
"Scopelarchus guentheri","OBIS"
"Prionace glauca","OBIS"
"Gibbonsia elegans","OBIS"
"Micrometrus aurora","OBIS"
"Parvilux ingens","OBIS"
"Apristurus brunneus","OBIS"
"Liparis pulchellus","OBIS"
"Gymnothorax mordax","OBIS"
"Liparis florae","OBIS"
"Artedius harringtoni","OBIS"
"Acanthogobius flavimanus","OBIS"
"Alepocephalus tenebrosus","OBIS"
"Brama japonica","OBIS"
"Beringraja binoculata","OBIS"
"Eopsetta jordani","OBIS"
"Icosteus aenigmaticus","OBIS"
"Lythrypnus dalli","OBIS"
"Sebastes constellatus","OBIS"
"Lepidopus fitchi","OBIS"
"Kyphosus azureus","OBIS"
"Beringraja inornata","OBIS"
"Lycodes pacificus","OBIS"
"Leiocottus hirundo","OBIS"
"Platichthys stellatus","OBIS"
"Nectoliparis pelagicus","OBIS"
"Parmaturus xaniurus","OBIS"
"Berardius bairdii","OBIS"
"Etrumeus sadina","OBIS"
"Careproctus melanurus","OBIS"
"Loweina rara","OBIS"
"Hypocritichthys analis","OBIS"
"Macroramphosus gracilis","OBIS"
"Cottus aleuticus","OBIS"
"Atractoscion nobilis","OBIS"
"Artedius notospilotus","OBIS"
"Orthonopias triacis","OBIS"
"Sebastes umbrosus","OBIS"
"Enophrys bison","OBIS"
"Gobiesox rhessodon","OBIS"
"Eucryphycus californicus","OBIS"
"Brachygenys californiensis","OBIS"
"Anoplogaster cornuta","OBIS"
"Ascelichthys rhodorus","OBIS"
"Hypsoblennius gentilis","OBIS"
"Hypomesus pretiosus","OBIS"
"Lumpenus sagitta","OBIS"
"Hyperprosopon ellipticum","OBIS"
"Rathbunella alleni","OBIS"
"Lampanyctus tenuiformis","OBIS"
"Sebastes rubrivinctus","OBIS"
"Triakis semifasciata","OBIS"
"Icelinus filamentosus","OBIS"
"Liparis fucensis","OBIS"
"Oligocottus rimensis","OBIS"
"Sternoptyx obscura","OBIS"
"Lampanyctus steinbecki","OBIS"
"Ilypnus gilberti","OBIS"
"Sarda chiliensis","OBIS"
"Galeorhinus galeus","OBIS"
"Gillichthys mirabilis","OBIS"
"Cyclothone atraria","OBIS"
"Amphistichus argenteus","OBIS"
"Cryptotrema corallinum","OBIS"
"Neoclinus stephensae","OBIS"
"Squalus suckleyi","OBIS"
"Sebastes ovalis","OBIS"
"Mustelus henlei","OBIS"
"Alloclinus holderi","OBIS"
"Cheilotrema saturnum","OBIS"
"Bathyraja trachura","OBIS"
"Lepidopsetta bilineata","OBIS"
"Stereolepis gigas","OBIS"
"Bathyraja kincaidii","OBIS"
"Fundulus parvipinnis","OBIS"
"Pholis ornata","OBIS"
"Nezumia stelgidolepis","OBIS"
"Protomyctophum thompsoni","OBIS"
"Radulinus asprellus","OBIS"
"Spirinchus starksi","OBIS"
"Holtbyrnia latifrons","OBIS"
"Sebastes ensifer","OBIS"
"Sternoptyx diaphana","OBIS"
"Artedius corallinus","OBIS"
"Bathyagonus pentacanthus","OBIS"
"Cheilopogon heterurus","OBIS"
"Nemichthys scolopaceus","OBIS"
"Lyconema barbatum","OBIS"
"Ulvicola sanctaerosae","OBIS"
"Enophrys taurina","OBIS"
"Lepophidium negropinna","OBIS"
"Bothrocara brunneum","OBIS"
"Icelinus cavifrons","OBIS"
"Xeneretmus triacanthus","OBIS"
"Talismania bifurcata","OBIS"
"Isurus oxyrinchus","OBIS"
"Alosa sapidissima","OBIS"
"Menticirrhus undulatus","OBIS"
"Allosmerus elongatus","OBIS"
"Hexanchus griseus","OBIS"
"Cyclothone pallida","OBIS"
"Paraclinus integripinnis","OBIS"
"Rathbunella hypoplecta","OBIS"
"Etropus crossotus","OBIS"
"Cyema atrum","OBIS"
"Pseudobatos productus","OBIS"
"Diplospinus multistriatus","OBIS"
"Scopeloberyx robustus","OBIS"
"Hemilepidotus hemilepidotus","OBIS"
"Avocettina infans","OBIS"
"Squatina californica","OBIS"
"Microstoma microstoma","OBIS"
"Porichthys myriaster","OBIS"
"Oncorhynchus kisutch","OBIS"
"Serrivomer sector","OBIS"
"Albatrossia pectoralis","OBIS"
"Platyrhinoidis triseriata","OBIS"
"Sebastes helvomaculatus","OBIS"
"Sinosturio transmontanus","OBIS"
"Ammodytes hexapterus","OBIS"
"Nezumia liolepis","OBIS"
"Sebastes ruberrimus","OBIS"
"Icelinus tenuis","OBIS"
"Caliraja stellulata","OBIS"
"Stellerina xyosterna","OBIS"
"Neoclinus uninotatus","OBIS"
"Bathyraja interrupta","OBIS"
"Xeneretmus leiops","OBIS"
"Lycodapus dermatinus","OBIS"
"Paralabrax maculatofasciatus","OBIS"
"Apristurus kampae","OBIS"
"Cheilopogon pinnatibarbatus","OBIS"
"Physiculus rastrelliger","OBIS"
"Paraliparis dactylosus","OBIS"
"Phanerodon atripes","OBIS"
"Rimicola muscarum","OBIS"
"Urobatis halleri","OBIS"
"Chiasmodon niger","OBIS"
"Sebastes maliger","OBIS"
"Gobiesox eugrammus","OBIS"
"Desmodema lorum","OBIS"
"Artedius fenestralis","OBIS"
"Ruscarius meanyi","OBIS"
"Lampanyctus hawaiiensis","OBIS"
"Bothrocara molle","OBIS"
"Sebastes babcocki","OBIS"
