"Species","Source"
"Carcharodon carcharias","GBIF"
"Deania calcea","GBIF"
"Paratrygon aiereba","GBIF"
"Rhynchobatus laevis","GBIF"
"Centrophorus moluccensis","GBIF"
"Sphyrna tiburo","GBIF"
"Zanobatus maculatus","GBIF"
"Hemigaleus australiensis","GBIF"
"Taeniura grabata","GBIF"
"Alopias pelagicus","GBIF"
"Torpedo sinuspersici","GBIF"
"Halaelurus buergeri","GBIF"
"Chiloscyllium griseum","GBIF"
"Rhizoprionodon longurio","GBIF"
"Urogymnus asperrimus","GBIF"
"Potamotrygon constellata","GBIF"
"Fontitrygon colarensis","GBIF"
"Urotrygon microphthalmum","GBIF"
"Alopias superciliosus","GBIF"
"Telatrygon biasa","GBIF"
"Hemigaleus microstoma","GBIF"
"Chaenogaleus macrostoma","GBIF"
"Negaprion acutidens","GBIF"
"Raja miraletus","GBIF"
"Raja velezi","GBIF"
"Potamotrygon hystrix","GBIF"
"Hypanus rudis","GBIF"
"Eridacnis radcliffei","GBIF"
"Paragaleus tengi","GBIF"
"Zapteryx exasperata","GBIF"
"Carcharhinus sorrah","GBIF"
"Hypanus longus","GBIF"
"Glaucostegus thouin","GBIF"
"Maculabatis pastinacoides","GBIF"
"Glaucostegus cemiculus","GBIF"
"Mustelus mosis","GBIF"
"Rhinobatos thouiniana","GBIF"
"Telatrygon zugei","GBIF"
"Heterodontus mexicanus","GBIF"
"Squatina armata","GBIF"
"Hemipristis elongata","GBIF"
"Pateobatis uarnacoides","GBIF"
"Neotrygon kuhlii","GBIF"
"Myxine circifrons","GBIF"
"Isurus oxyrinchus","GBIF"
"Urogymnus lobistoma","GBIF"
"Urolophus halleri","GBIF"
"Carcharhinus signatus","GBIF"
"Ginglymostoma cirratum","GBIF"
"Nebrius ferrugineus","GBIF"
"Myliobatis peruvianus","GBIF"
"Fontitrygon margarita","GBIF"
"Etmopterus pusillus","GBIF"
"Negaprion acutidens","GBIF"
"Eusphyra blochii","GBIF"
"Leucoraja leucosticta","GBIF"
"Pseudobatos planiceps","GBIF"
"Etmopterus polli","GBIF"
"Urotrygon peruanus","GBIF"
"Arctoraja parmifera","GBIF"
"Scoliodon","GBIF"
"Zygobates studeri","GBIF"
"Acrodobatis serra","GBIF"
"Orectolobus leptolineatus","GBIF"
"Rhizoprionodon oligolinx","GBIF"
"Fontitrygon geijskesi","GBIF"
"Cephaloscyllium stevensi","GBIF"
"Mustelus canis","GBIF"
"Paratrygon aiereba","GBIF"
"Raja equatorialis","GBIF"
"Apristurus nakayai","GBIF"
"Squalus edmundsi","GBIF"
"Iago garricki","GBIF"
"Urolophus bucculentus","GBIF"
"Tetronarce formosa","GBIF"
"Rhinobatos manai","GBIF"
"Halaelurus boesemani","GBIF"
"Okamejei heemstrai","GBIF"
"Holohalaelurus grennian","GBIF"
"Pateobatis fai","GBIF"
"Urogymnus polylepis","GBIF"
"Styracura schmardae","GBIF"
"Rhinoptera marginata","GBIF"
"Isurus","GBIF"
"Galeocerdo","GBIF"
