"Sample_name","BestTaxon","Class","nReads","domain","phylum","class","order","family","genus","species"
"RL2501_EN3825_3_MV1","Bos taurus","Mammalia",5,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus"
"RL2501_EN3825_3_MV1","Citharichthys sordidus","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_EN3825_3_MV1","Delphinidae","Mammalia",21,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_EN3825_3_MV1","Engraulis mordax","Actinopteri",920,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_EN3825_3_MV1","Homo sapiens","Mammalia",5,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_EN3825_3_MV1","Merluccius productus","Actinopteri",2,"Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"RL2501_EN3825_3_MV1","Oneirodes","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes",NA
"RL2501_EN3825_3_MV1","Sebastes","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_EN3825_3_MV1","Symbolophorus californiensis","Actinopteri",36,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_EN3825_3_MV1","Tetragonurus cuvieri","Actinopteri",37,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_EN3825_3_MV1",NA,NA,708,NA,NA,NA,NA,NA,NA,NA
"RL2501_EN3825_4_MV1","Engraulis mordax","Actinopteri",12,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_EN3825_4_MV1","Symbolophorus californiensis","Actinopteri",6,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_EN3825_4_MV1",NA,NA,1164,NA,NA,NA,NA,NA,NA,NA
"RL2501_EN91825_3_MV1","Citharichthys sordidus","Actinopteri",2,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_EN91825_3_MV1","Engraulis mordax","Actinopteri",19,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_EN91825_3_MV1","Homo sapiens","Mammalia",2,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_EN91825_3_MV1","Pleuronectidae","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae",NA,NA
"RL2501_EN91825_3_MV1","Sebastes","Actinopteri",8,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_EN91825_3_MV1","Syngnathus","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_EN91825_4_MV1","Engraulis mordax","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F006_1_1_MV1","Astropecten verrilli","Asteroidea",61,"Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli"
"RL2501_F006_1_1_MV1","Citharichthys sordidus","Actinopteri",298,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_F006_1_1_MV1","Engraulis mordax","Actinopteri",22288,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F006_1_1_MV1","Homo sapiens","Mammalia",508,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F006_1_1_MV1","Icichthys lockingtoni","Actinopteri",612,"Eukaryota","Chordata","Actinopteri","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"RL2501_F006_1_1_MV1","Leuroglossus","Actinopteri",1013,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"RL2501_F006_1_1_MV1","Phosichthyidae","Actinopteri",305,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F006_1_1_MV1","Sebastes","Actinopteri",6753,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F006_1_1_MV1","Sebastes pinniger","Actinopteri",618,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"RL2501_F006_1_1_MV1","Syngnathus","Actinopteri",416,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_F006_1_1_MV1",NA,NA,6646,NA,NA,NA,NA,NA,NA,NA
"RL2501_F006_1_2_MV1","Astropecten verrilli","Asteroidea",69,"Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli"
"RL2501_F006_1_2_MV1","Bathylagoides wesethi","Actinopteri",416,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi"
"RL2501_F006_1_2_MV1","Chiasmodontidae","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Scombriformes","Chiasmodontidae",NA,NA
"RL2501_F006_1_2_MV1","Citharichthys sordidus","Actinopteri",2,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_F006_1_2_MV1","Delphinidae","Mammalia",260,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F006_1_2_MV1","Engraulis mordax","Actinopteri",23832,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F006_1_2_MV1","Homo sapiens","Mammalia",266,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F006_1_2_MV1","Leuroglossus","Actinopteri",1856,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"RL2501_F006_1_2_MV1","Sebastes","Actinopteri",6228,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F006_1_2_MV1","Sebastes pinniger","Actinopteri",703,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"RL2501_F006_1_2_MV1","Stomias atriventer","Actinopteri",264,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Stomias","Stomias atriventer"
"RL2501_F006_1_2_MV1","Strongylocentrotus purpuratus","Echinoidea",73,"Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus"
"RL2501_F006_1_2_MV1","Syngnathus","Actinopteri",171,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_F006_1_2_MV1","Trachurus symmetricus","Actinopteri",223,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F006_1_2_MV1","Triphoturus mexicanus","Actinopteri",755,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Triphoturus","Triphoturus mexicanus"
"RL2501_F006_1_2_MV1",NA,NA,16391,NA,NA,NA,NA,NA,NA,NA
"RL2501_F006_1_3_MV1","Astropecten verrilli","Asteroidea",969,"Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli"
"RL2501_F006_1_3_MV1","Chiasmodontidae","Actinopteri",25,"Eukaryota","Chordata","Actinopteri","Scombriformes","Chiasmodontidae",NA,NA
"RL2501_F006_1_3_MV1","Citharichthys","Actinopteri",64,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys",NA
"RL2501_F006_1_3_MV1","Citharichthys sordidus","Actinopteri",1027,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_F006_1_3_MV1","Citharichthys stigmaeus","Actinopteri",261,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys stigmaeus"
"RL2501_F006_1_3_MV1","Delphinidae","Mammalia",60,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F006_1_3_MV1","Delphinus bairdii","Mammalia",46,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Delphinus","Delphinus bairdii"
"RL2501_F006_1_3_MV1","Engraulis mordax","Actinopteri",45506,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F006_1_3_MV1","Evadne","Branchiopoda",6,"Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Evadne",NA
"RL2501_F006_1_3_MV1","Homo sapiens","Mammalia",858,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F006_1_3_MV1","Icichthys lockingtoni","Actinopteri",536,"Eukaryota","Chordata","Actinopteri","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"RL2501_F006_1_3_MV1","Leuroglossus","Actinopteri",1756,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
