"ASV_id","domain_global","phylum_global","class_global","order_global","family_global","genus_global","species_global","pct_id_global","TAXID","SCIENTIFIC_NAME","COUNT","sintax","domain_local","phylum_local","class_local","order_local","family_local","genus_local","species_local","pct_id_local","pass1_winner","pass2_triggered","preferred_pctid","preferred_database","preferred_domain","preferred_phylum","preferred_class","preferred_order","preferred_family","preferred_genus","preferred_species","preferred_scientific_name"
"MiFish_0000451","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,95.2941176470588,"40493","Lutjanus",17,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,95.2941176470588,"global","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"Lutjanus"
"MiFish_0000452","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4152046783626,"48193","Mugil cephalus",112,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4,"global",TRUE,99.4152046783626,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000453","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus",98.8235294117647,"168377","Sphoeroides annulatus",12,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,98.8235294117647,"global","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","Sphoeroides annulatus"
"MiFish_0000454",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,383,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000455",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,37,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000456","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons",99.4285714285714,"1350519","Stegastes arcifrons",127,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,99.4285714285714,"global","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","Stegastes arcifrons"
"MiFish_0000457",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,387,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000458",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000459",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,29,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000460",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,54,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000461",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000462",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,305,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000463",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000464",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000465","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4152046783626,"48193","Mugil cephalus",279,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4,"global",TRUE,99.4152046783626,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000466","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4152046783626,"48193","Mugil cephalus",493,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4,"global",TRUE,99.4152046783626,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000467",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,17,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000468","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons",99.4285714285714,"1350519","Stegastes arcifrons",83,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,99.4285714285714,"global","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","Stegastes arcifrons"
"MiFish_0000469",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,36,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000470",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000471",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000472","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil",NA,96.4705882352941,"8190","Mugil",10,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_thoburni","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni",96.5,"local",FALSE,96.5,"local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","Mugil thoburni"
"MiFish_0000473","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus",96.4912280701754,"168377","Sphoeroides annulatus",13,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,96.4912280701754,"global","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","Sphoeroides annulatus"
"MiFish_0000474",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000475",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,61,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
