"ASV_id","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","match_rank"
"MiFish_0000223","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000234","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0000237","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000249","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Conodon",NA,"Conodon nobilis",NA,"family"
"MiFish_0000252","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Clupeiformes","Clupeiformes","Clupeidae","Clupeidae","Dorosoma",NA,"Dorosoma cepedianum",NA,"family"
"MiFish_0000273","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000284","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000295","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0000299","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000319","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000320","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000324","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Carangiformes","Carangiformes","Carangidae","Carangidae","Caranx","Caranx","Caranx crysos",NA,"genus"
"MiFish_0000329","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000338","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000341","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000345","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000358","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
