"ASV_id","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","match_rank"
"MiFish_0001293","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0001298","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0001314","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0001323","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0001326","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0001352","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0001379","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0001385","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Pleuronectiformes","Pleuronectiformes","Achiridae","Achiridae","Achirus",NA,"Achirus lineatus",NA,"family"
"MiFish_0001399","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Clupeiformes","Clupeiformes","Engraulidae","Engraulidae","Anchoa","Anchoa","Anchoa hepsetus",NA,"genus"
"MiFish_0001434","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
