"ASV_id","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000760","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000719",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000731",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000751","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000734",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000735",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000756",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000771",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000754","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000740",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000749",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000750","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000726",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000745","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000579",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000757",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000759",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000780","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000741","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000732",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000738",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000764","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000761",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000772",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000758",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000766","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000748",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000744",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000768",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000763",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000767",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000747","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000752",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000765",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000781","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000795",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000769",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000755",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000775",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000788",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000782",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000762","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000777",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000774",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000801",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000773",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000808","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000791","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000770",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000776",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000786",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000794",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000804","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000810",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000789",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000779",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000743",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000736",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000784",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000793",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000800",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000809",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000799",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000787",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000785","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000798",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000803",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000783","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000797","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000790",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000818",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000746",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000802",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000807",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000792",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000778",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000805","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000811",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000817",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000813",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000815",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000840",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000822",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000846",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000848","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000827","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000826",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000796",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000828",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000824",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000838",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000843",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000852",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000835",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000806",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000814",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000812",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000825",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000819",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000839","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000816",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000855",NA,NA,NA,NA,NA,NA,NA,NA
