"ASV_id","pct_id","count","obitools_name","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000838",97.6331360946746,15,"Orthopristis chrysoptera","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis",NA,"genus"
"MiFish_0000839",97.6608187134503,16,"Mugil cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000840",0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000841",98.2248520710059,10,"Lutjanus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0000842",0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000843",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000844",97.6470588235294,15,"Mugil thoburni","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000845",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000846",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000847",95.906432748538,10,"Mugil cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000848",98.8304093567252,13,"Mugil cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000849",0,235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000850",0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000851",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000852",99.4082840236686,12,"Gerres cinereus","Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus","species"
"MiFish_0000853",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000854",0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000855",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000856",100,718,"Lutjanus kasmira","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus kasmira","species"
"MiFish_0000857",100,149,"Kyphosus","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Kyphosus",NA,"genus"
"MiFish_0000858",100,680,"Oxyporhamphus micropterus micropterus","Eukaryota","Chordata","Actinopteri","Beloniformes","Hemiramphidae","Oxyporhamphus","Oxyporhamphus micropterus","species"
"MiFish_0000859",100,4833,"Thalassoma lucasanum","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Thalassoma","Thalassoma lucasanum","species"
"MiFish_0000860",100,508,"Balistidae","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae",NA,NA,"family"
"MiFish_0000861",95.2095808383234,115,"Vinciguerria nimbaria","Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria nimbaria","species"
"MiFish_0000862",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000863",0,926,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000864",99.4152046783626,83,"Balistidae","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae",NA,NA,"family"
"MiFish_0000865",100,269,"Mulloidichthys vanicolensis","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Mullidae","Mulloidichthys",NA,"genus"
"MiFish_0000866",97.6744186046512,1535,"Sphoeroides parvus","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides",NA,"genus"
"MiFish_0000867",97.1098265895954,51,"Scarus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus",NA,"genus"
"MiFish_0000868",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000869",0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000870",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000871",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000872",0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000873",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000874",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000875",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000876",97.6608187134503,30,"Mugil cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000877",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000878",99.4152046783626,20,"Arothron","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron",NA,"genus"
"MiFish_0000879",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000880",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000881",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000882",97.6470588235294,36,"Mugil","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil",NA,"genus"
"MiFish_0000883",99.4285714285714,44,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000884",96.5116279069768,18,"Eucinostomus melanopterus","Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Eucinostomus",NA,"genus"
"MiFish_0000885",97.0414201183432,20,"Lutjanus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0000886",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000887",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000888",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000889",97.6744186046512,102,"Bothus robinsi","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Bothidae","Bothus",NA,"genus"
"MiFish_0000890",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000891",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
